item_id,name,category,weight_kg,dimensions_cm,location_id,quantity,reorder_point,supplier
ITM001,Widget A,Electronics,0.5,"10x5x3",A1,150,20,SupplierX
ITM002,Gadget B,Electronics,1.2,"15x10x8",A2,80,15,SupplierX
ITM003,Component C,Mechanical,2.3,"20x15x10",B1,200,30,SupplierY
ITM004,Part D,Mechanical,0.8,"12x8x5",B2,120,25,SupplierY
ITM005,Module E,Electrical,1.5,"18x12x6",C1,60,10,SupplierZ
ITM006,Assembly F,Electrical,3.0,"25x20x15",C2,45,8,SupplierZ
ITM007,Unit G,Hardware,0.3,"8x4x2",D1,300,50,SupplierX
ITM008,Block H,Hardware,4.5,"30x25x20",D2,25,5,SupplierW
ITM009,Piece I,Consumables,0.1,"5x3x1",E1,500,100,SupplierW
ITM010,Item J,Consumables,0.2,"7x4x2",E2,400,80,SupplierV
